simday,hour,temp,hum,precip,month,dayofweek,workingday,requests
0.0,0.0,62.0,90.0,0.0,10.0,3.0,1.0,180.0
0.0,1.0,63.0,81.0,0.0,10.0,3.0,1.0,117.0
0.0,2.0,62.0,87.0,0.0,10.0,3.0,1.0,49.0
0.0,3.0,63.0,81.0,0.0,10.0,3.0,1.0,26.0
0.0,4.0,63.0,81.0,0.0,10.0,3.0,1.0,60.0
0.0,5.0,61.0,87.0,0.001,10.0,3.0,1.0,229.0
0.0,6.0,61.0,87.0,0.001,10.0,3.0,1.0,858.0
0.0,7.0,63.0,81.0,0.001,10.0,3.0,1.0,1601.0
0.0,8.0,63.0,81.0,0.001,10.0,3.0,1.0,2382.0
0.0,9.0,63.0,81.0,0.001,10.0,3.0,1.0,1955.0
0.0,10.0,64.0,81.0,0.001,10.0,3.0,1.0,1181.0
0.0,11.0,64.0,84.0,0.001,10.0,3.0,1.0,839.0
0.0,12.0,64.0,84.0,0.001,10.0,3.0,1.0,808.0
0.0,13.0,64.0,84.0,0.001,10.0,3.0,1.0,1037.0
0.0,14.0,64.0,78.0,0.001,10.0,3.0,1.0,1323.0
0.0,15.0,64.0,84.0,0.001,10.0,3.0,1.0,1321.0
0.0,16.0,64.0,81.0,0.0,10.0,3.0,1.0,1533.0
0.0,17.0,66.0,73.0,0.0,10.0,3.0,1.0,2827.0
0.0,18.0,64.0,78.0,0.0,10.0,3.0,1.0,3444.0
0.0,19.0,64.0,73.0,0.0,10.0,3.0,1.0,2229.0
0.0,20.0,65.0,73.0,0.0,10.0,3.0,1.0,1597.0
0.0,21.0,62.0,81.0,0.001,10.0,3.0,1.0,1153.0
0.0,22.0,61.0,87.0,0.001,10.0,3.0,1.0,725.0
0.0,23.0,61.0,87.0,0.001,10.0,3.0,1.0,468.0
1.0,0.0,60.0,90.0,0.001,10.0,4.0,1.0,247.0
1.0,1.0,61.0,81.0,0.001,10.0,4.0,1.0,96.0
1.0,2.0,61.0,81.0,0.0,10.0,4.0,1.0,57.0
1.0,3.0,61.0,81.0,0.0,10.0,4.0,1.0,36.0
1.0,4.0,61.0,81.0,0.0,10.0,4.0,1.0,40.0
1.0,5.0,61.0,78.0,0.0,10.0,4.0,1.0,205.0
1.0,6.0,61.0,78.0,0.0,10.0,4.0,1.0,952.0
1.0,7.0,62.0,75.0,0.0,10.0,4.0,1.0,1996.0
1.0,8.0,63.0,73.0,0.0,10.0,4.0,1.0,3352.0
1.0,9.0,63.0,73.0,0.0,10.0,4.0,1.0,2478.0
1.0,10.0,64.0,70.0,0.0,10.0,4.0,1.0,1360.0
1.0,11.0,66.0,68.0,0.0,10.0,4.0,1.0,1275.0
1.0,12.0,66.0,68.0,0.0,10.0,4.0,1.0,1560.0
1.0,13.0,67.0,63.0,0.0,10.0,4.0,1.0,1580.0
1.0,14.0,66.0,65.0,0.0,10.0,4.0,1.0,1664.0
1.0,15.0,67.0,63.0,0.0,10.0,4.0,1.0,1827.0
1.0,16.0,66.0,68.0,0.0,10.0,4.0,1.0,2153.0
1.0,17.0,65.0,70.0,0.0,10.0,4.0,1.0,3494.0
1.0,18.0,64.0,73.0,0.0,10.0,4.0,1.0,3524.0
1.0,19.0,63.0,75.0,0.0,10.0,4.0,1.0,2315.0
1.0,20.0,63.0,75.0,0.0,10.0,4.0,1.0,1571.0
1.0,21.0,63.0,75.0,0.0,10.0,4.0,1.0,1208.0
1.0,22.0,63.0,73.0,0.0,10.0,4.0,1.0,880.0
1.0,23.0,63.0,75.0,0.0,10.0,4.0,1.0,622.0
2.0,0.0,63.0,75.0,0.0,10.0,5.0,1.0,355.0
2.0,1.0,63.0,73.0,0.0,10.0,5.0,1.0,170.0
2.0,2.0,59.0,81.0,0.0,10.0,5.0,1.0,99.0
2.0,3.0,57.0,83.0,0.0,10.0,5.0,1.0,56.0
2.0,4.0,57.0,80.0,0.0,10.0,5.0,1.0,57.0
2.0,5.0,57.0,80.0,0.0,10.0,5.0,1.0,196.0
2.0,6.0,58.0,75.0,0.0,10.0,5.0,1.0,815.0
2.0,7.0,60.0,70.0,0.0,10.0,5.0,1.0,1805.0
2.0,8.0,61.0,67.0,0.0,10.0,5.0,1.0,3058.0
2.0,9.0,63.0,63.0,0.0,10.0,5.0,1.0,2556.0
2.0,10.0,63.0,63.0,0.0,10.0,5.0,1.0,1475.0
2.0,11.0,66.0,52.0,0.0,10.0,5.0,1.0,1488.0
2.0,12.0,67.0,55.0,0.0,10.0,5.0,1.0,1855.0
2.0,13.0,68.0,55.0,0.0,10.0,5.0,1.0,1905.0
2.0,14.0,68.0,57.0,0.0,10.0,5.0,1.0,2026.0
2.0,15.0,66.0,61.0,0.0,10.0,5.0,1.0,2287.0
2.0,16.0,63.0,68.0,0.0,10.0,5.0,1.0,2887.0
2.0,17.0,62.0,70.0,0.0,10.0,5.0,1.0,3655.0
2.0,18.0,64.0,65.0,0.0,10.0,5.0,1.0,3116.0
2.0,19.0,63.0,68.0,0.0,10.0,5.0,1.0,1824.0
2.0,20.0,63.0,73.0,0.0,10.0,5.0,1.0,1159.0
2.0,21.0,63.0,70.0,0.0,10.0,5.0,1.0,866.0
2.0,22.0,63.0,70.0,0.0,10.0,5.0,1.0,673.0
2.0,23.0,63.0,70.0,0.0,10.0,5.0,1.0,561.0
3.0,0.0,63.0,73.0,0.0,10.0,6.0,0.0,444.0
3.0,1.0,64.0,73.0,0.01,10.0,6.0,0.0,259.0
3.0,2.0,63.0,81.0,0.01,10.0,6.0,0.0,173.0
3.0,3.0,63.0,81.0,0.01,10.0,6.0,0.0,89.0
3.0,4.0,64.0,81.0,0.02,10.0,6.0,0.0,79.0
3.0,5.0,63.0,90.0,0.02,10.0,6.0,0.0,34.0
3.0,6.0,63.0,93.0,0.040000000000000001,10.0,6.0,0.0,48.0
3.0,7.0,64.0,97.0,0.040000000000000001,10.0,6.0,0.0,102.0
3.0,8.0,64.0,97.0,0.13,10.0,6.0,0.0,282.0
3.0,9.0,66.0,90.0,0.55000000000000004,10.0,6.0,0.0,198.0
3.0,10.0,66.0,93.0,0.55000000000000004,10.0,6.0,0.0,114.0
3.0,11.0,69.0,90.0,0.17999999999999999,10.0,6.0,0.0,188.0
3.0,12.0,70.0,87.0,0.080000000000000002,10.0,6.0,0.0,231.0
3.0,13.0,70.0,87.0,0.02,10.0,6.0,0.0,463.0
3.0,14.0,68.0,78.0,0.001,10.0,6.0,0.0,800.0
3.0,15.0,68.0,68.0,0.0,10.0,6.0,0.0,1321.0
3.0,16.0,69.0,59.0,0.0,10.0,6.0,0.0,1653.0
3.0,17.0,66.0,59.0,0.0,10.0,6.0,0.0,1699.0
3.0,18.0,62.0,56.0,0.0,10.0,6.0,0.0,1608.0
3.0,19.0,60.0,56.0,0.0,10.0,6.0,0.0,1129.0
3.0,20.0,59.0,51.0,0.0,10.0,6.0,0.0,764.0
3.0,21.0,57.0,51.0,0.0,10.0,6.0,0.0,684.0
3.0,22.0,55.0,51.0,0.0,10.0,6.0,0.0,566.0
3.0,23.0,53.0,51.0,0.0,10.0,6.0,0.0,426.0
4.0,0.0,51.0,54.0,0.0,10.0,0.0,0.0,347.0
4.0,1.0,50.0,54.0,0.0,10.0,0.0,0.0,241.0
4.0,2.0,49.0,56.0,0.0,10.0,0.0,0.0,162.0
4.0,3.0,49.0,54.0,0.0,10.0,0.0,0.0,98.0
4.0,4.0,48.0,54.0,0.0,10.0,0.0,0.0,65.0
4.0,5.0,47.0,58.0,0.0,10.0,0.0,0.0,59.0
4.0,6.0,47.0,58.0,0.0,10.0,0.0,0.0,88.0
4.0,7.0,48.0,59.0,0.0,10.0,0.0,0.0,233.0
4.0,8.0,50.0,52.0,0.0,10.0,0.0,0.0,497.0
4.0,9.0,52.0,47.0,0.0,10.0,0.0,0.0,868.0
4.0,10.0,54.0,45.0,0.0,10.0,0.0,0.0,1328.0
4.0,11.0,56.0,42.0,0.0,10.0,0.0,0.0,1715.0
4.0,12.0,58.0,37.0,0.0,10.0,0.0,0.0,2020.0
4.0,13.0,59.0,38.0,0.0,10.0,0.0,0.0,2130.0
4.0,14.0,60.0,38.0,0.0,10.0,0.0,0.0,2059.0
4.0,15.0,61.0,35.0,0.0,10.0,0.0,0.0,2098.0
4.0,16.0,59.0,42.0,0.0,10.0,0.0,0.0,2319.0
4.0,17.0,58.0,44.0,0.0,10.0,0.0,0.0,1915.0
4.0,18.0,57.0,46.0,0.0,10.0,0.0,0.0,1697.0
4.0,19.0,56.0,47.0,0.0,10.0,0.0,0.0,1199.0
4.0,20.0,56.0,45.0,0.0,10.0,0.0,0.0,938.0
4.0,21.0,56.0,44.0,0.0,10.0,0.0,0.0,627.0
4.0,22.0,56.0,45.0,0.0,10.0,0.0,0.0,466.0
4.0,23.0,54.0,49.0,0.0,10.0,0.0,0.0,287.0
5.0,0.0,52.0,57.0,0.0,10.0,1.0,1.0,173.0
5.0,1.0,52.0,61.0,0.0,10.0,1.0,1.0,73.0
5.0,2.0,51.0,66.0,0.0,10.0,1.0,1.0,40.0
5.0,3.0,52.0,61.0,0.0,10.0,1.0,1.0,26.0
5.0,4.0,51.0,69.0,0.0,10.0,1.0,1.0,31.0
5.0,5.0,51.0,64.0,0.0,10.0,1.0,1.0,183.0
5.0,6.0,53.0,62.0,0.0,10.0,1.0,1.0,813.0
5.0,7.0,58.0,58.0,0.0,10.0,1.0,1.0,1700.0
5.0,8.0,63.0,46.0,0.0,10.0,1.0,1.0,2922.0
5.0,9.0,65.0,40.0,0.0,10.0,1.0,1.0,2199.0
5.0,10.0,66.0,40.0,0.0,10.0,1.0,1.0,1247.0
5.0,11.0,68.0,44.0,0.0,10.0,1.0,1.0,1221.0
5.0,12.0,69.0,42.0,0.0,10.0,1.0,1.0,1412.0
5.0,13.0,68.0,47.0,0.0,10.0,1.0,1.0,1551.0
5.0,14.0,70.0,47.0,0.0,10.0,1.0,1.0,1570.0
5.0,15.0,67.0,51.0,0.0,10.0,1.0,1.0,1832.0
5.0,16.0,66.0,54.0,0.0,10.0,1.0,1.0,2061.0
5.0,17.0,65.0,59.0,0.0,10.0,1.0,1.0,3669.0
5.0,18.0,65.0,59.0,0.0,10.0,1.0,1.0,3452.0
5.0,19.0,64.0,61.0,0.0,10.0,1.0,1.0,2135.0
5.0,20.0,64.0,63.0,0.0,10.0,1.0,1.0,1416.0
5.0,21.0,64.0,63.0,0.0,10.0,1.0,1.0,965.0
5.0,22.0,65.0,63.0,0.0,10.0,1.0,1.0,617.0
5.0,23.0,64.0,73.0,0.0,10.0,1.0,1.0,434.0
6.0,0.0,65.0,73.0,0.0,10.0,2.0,1.0,210.0
6.0,1.0,66.0,73.0,0.0,10.0,2.0,1.0,97.0
6.0,2.0,66.0,76.0,0.0,10.0,2.0,1.0,41.0
6.0,3.0,66.0,76.0,0.0,10.0,2.0,1.0,33.0
6.0,4.0,67.0,66.0,0.001,10.0,2.0,1.0,42.0
6.0,5.0,66.0,65.0,0.001,10.0,2.0,1.0,202.0
6.0,6.0,66.0,63.0,0.001,10.0,2.0,1.0,893.0
6.0,7.0,67.0,57.0,0.001,10.0,2.0,1.0,1925.0
6.0,8.0,68.0,55.0,0.0,10.0,2.0,1.0,3356.0
6.0,9.0,68.0,57.0,0.0,10.0,2.0,1.0,2418.0
6.0,10.0,68.0,57.0,0.0,10.0,2.0,1.0,1372.0
6.0,11.0,69.0,53.0,0.0,10.0,2.0,1.0,1290.0
6.0,12.0,71.0,51.0,0.0,10.0,2.0,1.0,1516.0
6.0,13.0,71.0,46.0,0.001,10.0,2.0,1.0,1453.0
6.0,14.0,72.0,41.0,0.001,10.0,2.0,1.0,1533.0
6.0,15.0,71.0,43.0,0.001,10.0,2.0,1.0,1621.0
6.0,16.0,70.0,55.0,0.001,10.0,2.0,1.0,2123.0
6.0,17.0,67.0,78.0,0.0,10.0,2.0,1.0,3332.0
6.0,18.0,67.0,81.0,0.0,10.0,2.0,1.0,3513.0
6.0,19.0,66.0,84.0,0.0,10.0,2.0,1.0,2354.0
6.0,20.0,67.0,81.0,0.001,10.0,2.0,1.0,1503.0
6.0,21.0,68.0,73.0,0.01,10.0,2.0,1.0,1091.0
6.0,22.0,66.0,76.0,0.02,10.0,2.0,1.0,739.0
6.0,23.0,65.0,84.0,0.029999999999999999,10.0,2.0,1.0,235.0
7.0,0.0,66.0,84.0,0.029999999999999999,10.0,3.0,1.0,97.0
