Daily Summary
Month/Year: 03/2015
Station Location: LA GUARDIA AIRPORT (14732)
Lat: 40.779
Lon: -73.880
Elev: 11 ft. above sea level
WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
14732,20150301,30, ,24, ,27, ,-11, ,14, ,23, ,38, , 0, ,0630, ,1746, ,FZRA SN FG+ FZFG BR, ,3, ,M, ,3.5, ,0.48, ,30.53, ,30.50, , 2.8, ,19, ,4.5, ,20, ,170, ,16, ,180, 
14732,20150302,38, ,28, ,33, ,-5, ,18, ,28, ,32, , 0, ,0628, ,1747, , , ,6, ,M, ,  T, ,  T, ,30.09, ,30.16, ,14.1, ,31, ,14.7, ,40, ,320, ,31, ,310, 
14732,20150303,36, ,24, ,30, ,-8, ,18, ,26, ,35, , 0, ,0627, ,1749, ,RA SN FG+ FZFG BR, ,5, ,M, ,1.0, ,0.72, ,30.28, ,30.26, , 4.2, ,20, ,9.3, ,22, ,190, ,18, ,180, 
14732,20150304,47, ,36, ,42, , 3, ,36, ,39, ,23, , 0, ,0625, ,1750, ,RA BR HZ, ,4, ,M, ,0.0, ,0.25, ,29.80, ,29.84, , 8.0, ,22, ,8.6, ,22, ,240, ,16, ,220, 
14732,20150305,41, ,20, ,31, ,-8, ,21, ,26, ,34, , 0, ,0624, ,1751, ,RA SN FG+ FZFG BR, ,3, ,M, ,8.1, ,0.60, ,30.04, ,30.13, ,11.3, ,33, ,12.0, ,30, ,320, ,24, ,320, 
14732,20150306,28, ,15, ,22, ,-17, ,4, ,17, ,43, , 0, ,0622, ,1752, , , ,11, ,M, ,0.0, ,0.00, ,30.42, ,30.45, , 2.5, ,30, ,7.0, ,25, ,340, ,21, ,330, 
14732,20150307,39, ,20, ,30, ,-10, ,12, ,25, ,35, , 0, ,0621, ,1753, , , ,6, ,M, ,0.0, ,0.00, ,30.18, ,30.18, , 9.4, ,24, ,10.1, ,26, ,240, ,18, ,240, 
14732,20150308,49, ,35, ,42, , 2, ,24, ,35, ,23, , 0, ,0619, ,1754, , , ,5, ,M, ,0.0, ,0.00, ,30.03, ,30.07, , 6.5, ,27, ,8.4, ,33, ,330, ,25, ,340, 
14732,20150309,54, ,36, ,45, , 5, ,25, ,38, ,20, , 0, ,0617, ,1755, ,RA, ,3, ,M, ,0.0, ,0.02, ,30.11, ,30.16, , 5.9, ,27, ,6.9, ,28, ,240, ,20, ,300, 
14732,20150310,54, ,33, ,44, , 4, ,31, ,36, ,21, , 0, ,0616, ,1756, ,RA BR, ,1, ,M, ,0.0, ,0.42, ,30.19, ,30.19, , 6.2, ,06, ,6.4, ,18, ,060, ,12, ,050, 
14732,20150311,60, ,37, ,49, , 8, ,35, ,43, ,16, , 0, ,0614, ,1758, ,BR, ,  T, ,M, ,0.0, ,0.02, ,29.93, ,29.97, , 10.0, ,30, ,10.8, ,32, ,300, ,24, ,310, 
14732,20150312,47, ,37, ,42, , 1, ,9, ,32, ,23, , 0, ,0613, ,1759, , , ,0, ,M, ,0.0, ,0.00, ,30.30, ,30.39, ,17.6, ,33, ,18.0, ,46, ,350, ,32, ,340, 
14732,20150313,43, ,31, ,37, ,-4, ,14, ,30, ,28, , 0, ,0611, ,1760, , , ,0, ,M, ,0.0, ,0.00, ,30.53, ,30.54, , 3.4, ,14, ,9.5, ,22, ,170, ,17, ,170, 
